obligation_key,vendor_id,vendor_name,period,split,scenario,root_cause,outreach_target,outreach_fact,notes,classification,method,verifier,outcome,invoice_status_at_cutoff,needs_estimate,approval_required,true_expense,static_rules_estimate,trailing_avg_estimate,static_error,actual_invoice_ids,actual_invoice_total,invoice_received_dates
OBL-V001-2026-11,V001,DataForge Inc.,2026-11,STANDARD,RECURRING_INVOICE_MATCH,,,,,VALID_INVOICE_MATCHES,ACTUAL_INVOICE,PASS,CLOSE_READY,RECEIVED,N,NONE,50000.0,50000.0,50000.0,0.0,INV-V001-007,50000.0,2026-12-02
OBL-V001-2026-12,V001,DataForge Inc.,2026-12,TRAIN,ESCALATOR_MISS,SCHEDULED_ESCALATOR,,,"Contract s4.3: 5% uplift on each anniversary (Dec 1). Order form still shows $50,000.",NO_INVOICE_SERVICE_RECEIVED,FIXED_CONTRACT_FEE,REVIEW_REQUIRED,ACCRUED_THEN_RECONCILED,MISSING,Y,CONTROLLER,52500.0,50000.0,50000.0,-2500.0,INV-V001-008,52500.0,2027-01-12
OBL-V001-2027-01,V001,DataForge Inc.,2027-01,HELDOUT_SAME_VENDOR,ESCALATOR_PRECEDENT,SCHEDULED_ESCALATOR,,,,NO_INVOICE_SERVICE_RECEIVED,FIXED_CONTRACT_FEE,REVIEW_REQUIRED,ACCRUED_THEN_RECONCILED,MISSING,Y,CONTROLLER,52500.0,50000.0,50833.33,-2500.0,INV-V001-009,52500.0,2027-02-10
OBL-V002-2026-11,V002,CloudHarbor LLC,2026-11,STANDARD,SUPPORTED_ACCRUAL,,,,,NO_INVOICE_SERVICE_RECEIVED,USAGE_X_RATE,REVIEW_REQUIRED,ACCRUED_THEN_RECONCILED,MISSING,Y,CONTROLLER,36000.0,36000.0,36000.0,0.0,INV-V002-007,36000.0,2026-12-08
OBL-V002-2026-12,V002,CloudHarbor LLC,2026-12,TRAIN,TIERED_OVERAGE_MISS,TIERED_OVERAGE_RATE,,,,NO_INVOICE_SERVICE_RECEIVED,USAGE_X_RATE,REVIEW_REQUIRED,ACCRUED_THEN_RECONCILED,MISSING,Y,CONTROLLER,43800.0,42240.0,36000.0,-1560.0,INV-V002-008,43800.0,2027-01-08
OBL-V002-2027-01,V002,CloudHarbor LLC,2027-01,HELDOUT_SAME_VENDOR,TIERED_OVERAGE_PRECEDENT,TIERED_OVERAGE_RATE,,,,NO_INVOICE_SERVICE_RECEIVED,USAGE_X_RATE,REVIEW_REQUIRED,ACCRUED_THEN_RECONCILED,MISSING,Y,CONTROLLER,37500.0,37200.0,38600.0,-300.0,INV-V002-009,37500.0,2027-02-08
OBL-V003-2026-11,V003,Helpline Desk Co.,2026-11,STANDARD,RECURRING_INVOICE_MATCH,,,,,VALID_INVOICE_MATCHES,ACTUAL_INVOICE,PASS,CLOSE_READY,RECEIVED,N,NONE,10200.0,10200.0,10200.0,0.0,INV-V003-007,10200.0,2026-12-03
OBL-V003-2026-12,V003,Helpline Desk Co.,2026-12,TRAIN,CHANGE_ORDER_MISS,CHANGE_ORDER_SEAT_EXPANSION,REQUESTER,SCOPE_OR_RATE_CHANGE,"CO-1 adds 30 seats from Dec 10; vendor never replies, PO requester does.",NO_INVOICE_SERVICE_RECEIVED,USAGE_X_RATE,REVIEW_REQUIRED,ACCRUED_THEN_RECONCILED,MISSING,Y,REVIEWER,12009.68,10200.0,10200.0,-1809.68,INV-V003-008,12009.68,2027-01-09
OBL-V003-2027-01,V003,Helpline Desk Co.,2027-01,STANDARD,RECURRING_INVOICE_MATCH,,,,,VALID_INVOICE_MATCHES,ACTUAL_INVOICE,PASS,CLOSE_READY,RECEIVED,N,NONE,12750.0,12750.0,10803.23,0.0,INV-V003-009,12750.0,2027-02-03
OBL-V004-2026-11,V004,Lumen CRM Corp.,2026-11,STANDARD,RECURRING_INVOICE_MATCH,,,,,VALID_INVOICE_MATCHES,ACTUAL_INVOICE,PASS,CLOSE_READY,RECEIVED,N,NONE,18000.0,18000.0,18000.0,0.0,INV-V004-007,18000.0,2026-12-02
OBL-V004-2026-12,V004,Lumen CRM Corp.,2026-12,STANDARD,RECURRING_INVOICE_MATCH,,,,,VALID_INVOICE_MATCHES,ACTUAL_INVOICE,PASS,CLOSE_READY,RECEIVED,N,NONE,18000.0,18000.0,18000.0,0.0,INV-V004-008,18000.0,2027-01-02
OBL-V004-2027-01,V004,Lumen CRM Corp.,2027-01,HELDOUT,ESCALATOR_HELDOUT,SCHEDULED_ESCALATOR,,,Order form footnote: 4% uplift each January 1.,NO_INVOICE_SERVICE_RECEIVED,FIXED_CONTRACT_FEE,REVIEW_REQUIRED,ACCRUED_THEN_RECONCILED,MISSING,Y,REVIEWER,18720.0,18000.0,18000.0,-720.0,INV-V004-009,18720.0,2027-02-11
OBL-V005-2026-11,V005,PagerLoop Inc.,2026-11,STANDARD,RECURRING_INVOICE_MATCH,,,,,VALID_INVOICE_MATCHES,ACTUAL_INVOICE,PASS,CLOSE_READY,RECEIVED,N,NONE,6400.0,6400.0,6400.0,0.0,INV-V005-007,6400.0,2026-12-04
OBL-V005-2026-12,V005,PagerLoop Inc.,2026-12,STANDARD,RECURRING_INVOICE_MATCH,,,,,VALID_INVOICE_MATCHES,ACTUAL_INVOICE,PASS,CLOSE_READY,RECEIVED,N,NONE,6400.0,6400.0,6400.0,0.0,INV-V005-008,6400.0,2027-01-04
OBL-V005-2027-01,V005,PagerLoop Inc.,2027-01,HELDOUT,ESCALATOR_HELDOUT_NEEDS_OUTREACH,SCHEDULED_ESCALATOR,VENDOR_BILLING,SCOPE_OR_RATE_CHANGE,Uplift is vendor-notified (cap 7%); rate is not in any internal document.,NO_INVOICE_SERVICE_RECEIVED,FIXED_CONTRACT_FEE,OUTREACH_REQUIRED,ACCRUED_THEN_RECONCILED,MISSING,Y,NONE,6752.0,6400.0,6400.0,-352.0,INV-V005-009,6752.0,2027-02-09
OBL-V006-2026-11,V006,Brightwork Consulting Group,2026-11,STANDARD,SUPPORTED_ACCRUAL,,,,,NO_INVOICE_SERVICE_RECEIVED,USAGE_X_RATE,REVIEW_REQUIRED,ACCRUED_THEN_RECONCILED,MISSING,Y,CONTROLLER,29600.0,29600.0,9250.0,0.0,INV-V006-002,29600.0,2026-12-15
OBL-V006-2026-12,V006,Brightwork Consulting Group,2026-12,STANDARD,MISSING_SERVICE_CONFIRMATION,,OPERATIONAL_OWNER,SERVICE_RECEIVED,Last two weekly timesheets unapproved at cutoff.,NO_INVOICE_SERVICE_RECEIVED,USAGE_X_RATE,OUTREACH_REQUIRED,ACCRUED_THEN_RECONCILED,MISSING,Y,CONTROLLER,26270.0,26270.0,19116.67,0.0,INV-V006-003,26270.0,2027-01-15
OBL-V006-2027-01,V006,Brightwork Consulting Group,2027-01,STANDARD,SUPPORTED_ACCRUAL,,,,,NO_INVOICE_SERVICE_RECEIVED,USAGE_X_RATE,REVIEW_REQUIRED,ACCRUED_THEN_RECONCILED,MISSING,Y,REVIEWER,17760.0,17760.0,27873.33,0.0,INV-V006-004,17760.0,2027-02-15
OBL-V007-2026-11,V007,Meridian Legal LLP,2026-11,STANDARD,NO_ALLOWED_METHOD,,OPERATIONAL_OWNER,SERVICE_RECEIVED,,NO_INVOICE_SERVICE_UNCLEAR,NONE,ESCALATE,ESCALATED,MISSING,Y,NONE,6200.0,,5616.67,,INV-V007-005,6200.0,2026-12-18
OBL-V007-2026-12,V007,Meridian Legal LLP,2026-12,STANDARD,CONFLICTING_EVIDENCE,,CONTROLLER,TREATMENT,GC says ~$35-45k; vendor WIP report says $58k unbilled. Material.,NO_INVOICE_SERVICE_UNCLEAR,NONE,ESCALATE,ESCALATED,MISSING,Y,CONTROLLER,41870.0,,6316.67,,INV-V007-006,41870.0,2027-01-22
OBL-V007-2027-01,V007,Meridian Legal LLP,2027-01,STANDARD,SERVICE_NOT_RECEIVED,,OPERATIONAL_OWNER,SERVICE_RECEIVED,,NO_INVOICE_SERVICE_NOT_RECEIVED,NONE,PASS,NO_ACCRUAL_DOCUMENTED,NONE_EXPECTED,N,NONE,0.0,0.0,20273.33,0.0,,0.0,
OBL-V008-2026-11,V008,OfficeNest Properties,2026-11,STANDARD,RECURRING_INVOICE_MATCH,,,,,VALID_INVOICE_MATCHES,ACTUAL_INVOICE,PASS,CLOSE_READY,RECEIVED,N,NONE,22500.0,22500.0,22500.0,0.0,INV-V008-007,22500.0,2026-10-25
